time,DXY
1/1/2018,92.25
1/2/2018,91.87
1/3/2018,92.16
1/4/2018,91.85
1/5/2018,91.95
1/8/2018,92.36
1/9/2018,92.53
1/10/2018,92.33
1/11/2018,91.85
1/12/2018,90.97
1/15/2018,90.97
1/16/2018,90.39
1/17/2018,90.54
1/18/2018,90.5
1/19/2018,90.57
1/22/2018,90.4
1/23/2018,90.12
1/24/2018,89.21
1/25/2018,89.39
1/26/2018,89.07
1/29/2018,89.31
1/30/2018,89.16
1/31/2018,89.13
2/1/2018,88.67
2/2/2018,89.19
2/5/2018,89.55
2/6/2018,89.58
2/7/2018,90.25
2/8/2018,90.23
2/9/2018,90.44
2/12/2018,90.21
2/13/2018,89.7
2/14/2018,89.12
2/15/2018,88.59
2/16/2018,89.1
2/19/2018,89.1
2/20/2018,89.72
2/21/2018,90
2/22/2018,89.74
2/23/2018,89.88
2/26/2018,89.85
2/27/2018,90.36
2/28/2018,90.61
3/1/2018,90.32
3/2/2018,89.94
3/5/2018,90.08
3/6/2018,89.62
3/7/2018,89.64
3/8/2018,90.18
3/9/2018,90.09
3/12/2018,89.89
3/13/2018,89.66
3/14/2018,89.7
3/15/2018,90.14
3/16/2018,90.23
3/19/2018,89.77
3/20/2018,90.37
3/21/2018,89.78
3/22/2018,89.86
3/23/2018,89.48
3/26/2018,89.03
3/27/2018,89.33
3/28/2018,90.06
3/29/2018,90.15
3/30/2018,89.97
4/2/2018,90.05
4/3/2018,90.2
4/4/2018,90.14
4/5/2018,90.46
4/6/2018,90.11
4/9/2018,89.84
4/10/2018,89.59
4/11/2018,89.57
4/12/2018,89.75
4/13/2018,89.8
4/16/2018,89.42
4/17/2018,89.52
4/18/2018,89.62
4/19/2018,89.94
4/20/2018,90.32
4/23/2018,90.95
4/24/2018,90.77
4/25/2018,91.17
4/26/2018,91.56
4/27/2018,91.54
4/30/2018,91.84
5/1/2018,92.45
5/2/2018,92.51
5/3/2018,92.41
5/4/2018,92.57
5/7/2018,92.75
5/8/2018,93.12
5/9/2018,93.04
5/10/2018,92.65
5/11/2018,92.54
5/14/2018,92.59
5/15/2018,93.22
5/16/2018,93.39
5/17/2018,93.47
5/18/2018,93.64
5/21/2018,93.68
5/22/2018,93.61
5/23/2018,94
5/24/2018,93.76
5/25/2018,94.19
5/28/2018,94.19
5/29/2018,94.83
5/30/2018,94.15
5/31/2018,93.98
6/1/2018,94.19
6/4/2018,94.02
6/5/2018,93.9
6/6/2018,93.66
6/7/2018,93.4
6/8/2018,93.55
6/11/2018,93.58
6/12/2018,93.8
6/13/2018,93.71
6/14/2018,94.77
6/15/2018,94.79
6/18/2018,94.8
6/19/2018,95.08
6/20/2018,95.06
6/21/2018,94.74
6/22/2018,94.52
6/25/2018,94.28
6/26/2018,94.66
6/27/2018,95.27
6/28/2018,95.39
6/29/2018,94.64
7/2/2018,95.03
7/3/2018,94.67
7/4/2018,94.67
7/5/2018,94.47
7/6/2018,94.04
7/9/2018,94.08
7/10/2018,94.15
7/11/2018,94.72
7/12/2018,94.81
7/13/2018,94.75
7/16/2018,94.51
7/17/2018,94.94
7/18/2018,95.08
7/19/2018,95.15
7/20/2018,94.45
7/23/2018,94.67
7/24/2018,94.61
7/25/2018,94.36
7/26/2018,94.75
7/27/2018,94.67
7/30/2018,94.32
7/31/2018,94.49
8/1/2018,94.62
8/2/2018,95.16
8/3/2018,95.14
8/6/2018,95.36
8/7/2018,95.22
8/8/2018,95.05
8/9/2018,95.5
8/10/2018,96.36
8/13/2018,96.39
8/14/2018,96.73
8/15/2018,96.7
8/16/2018,96.64
8/17/2018,96.1
8/20/2018,95.9
8/21/2018,95.26
8/22/2018,95.15
8/23/2018,95.67
8/24/2018,95.15
8/27/2018,94.78
8/28/2018,94.72
8/29/2018,94.6
8/30/2018,94.72
8/31/2018,95.14
9/3/2018,95.14
9/4/2018,95.44
9/5/2018,95.18
9/6/2018,95.02
9/7/2018,95.36
9/10/2018,95.15
9/11/2018,95.25
9/12/2018,94.8
9/13/2018,94.52
9/14/2018,94.93
9/17/2018,94.5
9/18/2018,94.64
9/19/2018,94.54
9/20/2018,93.91
9/21/2018,94.22
9/24/2018,94.19
9/25/2018,94.13
9/26/2018,94.19
9/27/2018,94.89
9/28/2018,95.13
10/1/2018,95.3
10/2/2018,95.51
10/3/2018,95.76
10/4/2018,95.75
10/5/2018,95.62
10/8/2018,95.76
10/9/2018,95.67
10/10/2018,95.51
10/11/2018,95.02
10/12/2018,95.22
10/15/2018,95.06
10/16/2018,95.05
10/17/2018,95.58
10/18/2018,95.9
10/19/2018,95.71
10/22/2018,96.01
10/23/2018,95.96
10/24/2018,96.43
10/25/2018,96.68
10/26/2018,96.36
10/29/2018,96.58
10/30/2018,97.01
10/31/2018,97.13
11/1/2018,96.28
11/2/2018,96.54
11/5/2018,96.28
11/6/2018,96.32
11/7/2018,96
11/8/2018,96.72
11/9/2018,96.91
11/12/2018,97.54
11/13/2018,97.3
11/14/2018,96.8
11/15/2018,96.93
11/16/2018,96.47
11/19/2018,96.19
11/20/2018,96.84
11/21/2018,96.71
11/22/2018,96.71
11/23/2018,96.92
11/26/2018,97.07
11/27/2018,97.37
11/28/2018,96.79
11/29/2018,96.78
11/30/2018,97.27
12/3/2018,97.04
12/4/2018,96.97
12/5/2018,97.07
12/6/2018,96.81
12/7/2018,96.51
12/10/2018,97.22
12/11/2018,97.39
12/12/2018,97.04
12/13/2018,97.06
12/14/2018,97.44
12/17/2018,97.1
12/18/2018,97.1
12/19/2018,97.03
12/20/2018,96.28
12/21/2018,96.96
12/24/2018,96.55
12/25/2018,96.55
12/26/2018,97.05
12/27/2018,96.48
12/28/2018,96.4
12/31/2018,96.17
1/1/2019,96.17
1/2/2019,96.82
1/3/2019,96.31
1/4/2019,96.18
1/7/2019,95.67
1/8/2019,95.9
1/9/2019,95.22
1/10/2019,95.54
1/11/2019,95.67
1/14/2019,95.61
1/15/2019,96.04
1/16/2019,96.06
1/17/2019,96.06
1/18/2019,96.34
1/21/2019,96.34
1/22/2019,96.3
1/23/2019,96.12
1/24/2019,96.6
1/25/2019,95.79
1/28/2019,95.75
1/29/2019,95.82
1/30/2019,95.34
1/31/2019,95.58
2/1/2019,95.58
2/4/2019,95.85
2/5/2019,96.07
2/6/2019,96.39
2/7/2019,96.51
2/8/2019,96.64
2/11/2019,97.06
2/12/2019,96.71
2/13/2019,97.13
2/14/2019,96.98
2/15/2019,96.9
2/18/2019,96.9
2/19/2019,96.52
2/20/2019,96.45
2/21/2019,96.61
2/22/2019,96.51
2/25/2019,96.41
2/26/2019,96
2/27/2019,96.15
2/28/2019,96.16
3/1/2019,96.53
3/4/2019,96.68
3/5/2019,96.87
3/6/2019,96.87
3/7/2019,97.67
3/8/2019,97.31
3/11/2019,97.22
3/12/2019,96.94
3/13/2019,96.55
3/14/2019,96.78
3/15/2019,96.59
3/18/2019,96.52
3/19/2019,96.38
3/20/2019,95.76
3/21/2019,96.5
3/22/2019,96.65
3/25/2019,96.57
3/26/2019,96.74
3/27/2019,96.77
3/28/2019,97.2
3/29/2019,97.28
4/1/2019,97.23
4/2/2019,97.36
4/3/2019,97.09
4/4/2019,97.31
4/5/2019,97.39
4/8/2019,97.05
4/9/2019,97.01
4/10/2019,96.95
4/11/2019,97.18
4/12/2019,96.97
4/15/2019,96.94
4/16/2019,97.04
4/17/2019,97.01
4/18/2019,97.47
4/19/2019,97.38
4/22/2019,97.29
4/23/2019,97.64
4/24/2019,98.17
4/25/2019,98.2
4/26/2019,98.01
4/29/2019,97.86
4/30/2019,97.48
5/1/2019,97.69
5/2/2019,97.83
5/3/2019,97.52
5/6/2019,97.52
5/7/2019,97.63
5/8/2019,97.62
5/9/2019,97.37
5/10/2019,97.33
5/13/2019,97.32
5/14/2019,97.53
5/15/2019,97.57
5/16/2019,97.86
5/17/2019,98
5/20/2019,97.93
5/21/2019,98.06
5/22/2019,98.04
5/23/2019,97.86
5/24/2019,97.61
5/27/2019,97.61
5/28/2019,97.95
5/29/2019,98.14
5/30/2019,98.14
5/31/2019,97.75
6/3/2019,97.14
6/4/2019,97.07
6/5/2019,97.32
6/6/2019,97.04
6/7/2019,96.54
6/10/2019,96.76
6/11/2019,96.69
6/12/2019,97
6/13/2019,97.01
6/14/2019,97.57
6/17/2019,97.56
6/18/2019,97.64
6/19/2019,97.12
6/20/2019,96.63
6/21/2019,96.22
6/24/2019,95.98
6/25/2019,96.14
6/26/2019,96.21
6/27/2019,96.19
6/28/2019,96.13
7/1/2019,96.84
7/2/2019,96.73
7/3/2019,96.77
7/4/2019,96.77
7/5/2019,97.29
7/8/2019,97.38
7/9/2019,97.49
7/10/2019,97.1
7/11/2019,97.05
7/12/2019,96.81
7/15/2019,96.93
7/16/2019,97.39
7/17/2019,97.22
7/18/2019,96.79
7/19/2019,97.15
7/22/2019,97.26
7/23/2019,97.7
7/24/2019,97.73
7/25/2019,97.82
7/26/2019,98.01
7/29/2019,98.04
7/30/2019,98.05
7/31/2019,98.52
8/1/2019,98.37
8/2/2019,98.07
8/5/2019,97.52
8/6/2019,97.63
8/7/2019,97.54
8/8/2019,97.62
8/9/2019,97.49
8/12/2019,97.38
8/13/2019,97.81
8/14/2019,97.99
8/15/2019,98.14
8/16/2019,98.14
8/19/2019,98.35
8/20/2019,98.19
8/21/2019,98.3
8/22/2019,98.17
8/23/2019,97.64
8/26/2019,98.08
8/27/2019,98
8/28/2019,98.21
8/29/2019,98.51
8/30/2019,98.92
9/2/2019,98.92
9/3/2019,99
9/4/2019,98.45
9/5/2019,98.41
9/6/2019,98.39
9/9/2019,98.28
9/10/2019,98.33
9/11/2019,98.64
9/12/2019,98.31
9/13/2019,98.26
9/16/2019,98.61
9/17/2019,98.26
9/18/2019,98.56
9/19/2019,98.27
9/20/2019,98.51
9/23/2019,98.6
9/24/2019,98.34
9/25/2019,99.04
9/26/2019,99.13
9/27/2019,99.11
9/30/2019,99.38
10/1/2019,99.13
10/2/2019,99.02
10/3/2019,98.86
10/4/2019,98.81
10/7/2019,98.97
10/8/2019,99.13
10/9/2019,99.12
10/10/2019,98.7
10/11/2019,98.3
10/14/2019,98.45
10/15/2019,98.29
10/16/2019,98
10/17/2019,97.61
10/18/2019,97.28
10/21/2019,97.33
10/22/2019,97.53
10/23/2019,97.49
10/24/2019,97.63
10/25/2019,97.83
10/28/2019,97.76
10/29/2019,97.69
10/30/2019,97.65
10/31/2019,97.35
11/1/2019,97.24
11/4/2019,97.5
11/5/2019,97.98
11/6/2019,97.95
11/7/2019,98.14
11/8/2019,98.35
11/11/2019,98.2
11/12/2019,98.31
11/13/2019,98.37
11/14/2019,98.16
11/15/2019,98
11/18/2019,97.79
11/19/2019,97.86
11/20/2019,97.93
11/21/2019,97.99
11/22/2019,98.27
11/25/2019,98.32
11/26/2019,98.25
11/27/2019,98.37
11/28/2019,98.37
11/29/2019,98.27
12/2/2019,97.86
12/3/2019,97.74
12/4/2019,97.65
12/5/2019,97.41
12/6/2019,97.7
12/9/2019,97.64
12/10/2019,97.41
12/11/2019,97.08
12/12/2019,97.4
12/13/2019,97.17
12/16/2019,97.02
12/17/2019,97.22
12/18/2019,97.4
12/19/2019,97.38
12/20/2019,97.69
12/23/2019,97.66
12/24/2019,97.65
12/25/2019,97.65
12/26/2019,97.53
12/27/2019,96.92
12/30/2019,96.74
12/31/2019,96.39
1/1/2020,96.39
1/2/2020,96.85
1/3/2020,96.84
1/6/2020,96.67
1/7/2020,97
1/8/2020,97.3
1/9/2020,97.45
1/10/2020,97.36
1/13/2020,97.34
1/14/2020,97.37
1/15/2020,97.23
1/16/2020,97.32
1/17/2020,97.64
1/20/2020,97.61
1/21/2020,97.53
1/22/2020,97.53
1/23/2020,97.69
1/24/2020,97.85
1/27/2020,97.96
1/28/2020,98.02
1/29/2020,97.99
1/30/2020,97.87
1/31/2020,97.39
2/3/2020,97.8
2/4/2020,97.96
2/5/2020,98.3
2/6/2020,98.5
2/7/2020,98.68
2/10/2020,98.83
2/11/2020,98.72
2/12/2020,99.05
2/13/2020,99.07
2/14/2020,99.12
2/17/2020,99
2/18/2020,99.44
2/19/2020,99.71
2/20/2020,99.86
2/21/2020,99.26
2/24/2020,99.36
2/25/2020,98.97
2/26/2020,99
2/27/2020,98.51
2/28/2020,98.13
3/2/2020,97.36
3/3/2020,97.15
3/4/2020,97.34
3/5/2020,96.82
3/6/2020,95.95
3/9/2020,94.89
3/10/2020,96.41
3/11/2020,96.51
3/12/2020,97.47
3/13/2020,98.75
3/16/2020,98.07
3/17/2020,99.57
3/18/2020,101.16
3/19/2020,102.75
3/20/2020,102.82
3/23/2020,102.49
3/24/2020,102.04
3/25/2020,101.05
3/26/2020,99.35
3/27/2020,98.36
3/30/2020,99.18
3/31/2020,99.05
4/1/2020,99.67
4/2/2020,100.18
4/3/2020,100.58
4/6/2020,100.68
4/7/2020,99.9
4/8/2020,100.12
4/9/2020,99.52
4/10/2020,99.52
4/13/2020,99.35
4/14/2020,98.89
4/15/2020,99.46
4/16/2020,100.03
4/17/2020,99.78
4/20/2020,99.96
4/21/2020,100.26
4/22/2020,100.39
4/23/2020,100.43
4/24/2020,100.38
4/27/2020,100.04
4/28/2020,99.86
4/29/2020,99.57
4/30/2020,99.02
5/1/2020,99.08
5/4/2020,99.48
5/5/2020,99.71
5/6/2020,100.09
5/7/2020,99.89
5/8/2020,99.73
5/11/2020,100.24
5/12/2020,99.93
5/13/2020,100.24
5/14/2020,100.47
5/15/2020,100.4
5/18/2020,99.67
5/19/2020,99.37
5/20/2020,99.12
5/21/2020,99.37
5/22/2020,99.86
5/25/2020,99.86
5/26/2020,98.91
5/27/2020,99.06
5/28/2020,98.38
5/29/2020,98.34
6/1/2020,97.83
6/2/2020,97.67
6/3/2020,97.28
6/4/2020,96.68
6/5/2020,96.94
6/8/2020,96.62
6/9/2020,96.32
6/10/2020,95.96
6/11/2020,96.73
6/12/2020,97.32
6/15/2020,96.71
6/16/2020,96.96
6/17/2020,97.16
6/18/2020,97.42
6/19/2020,97.62
6/22/2020,97.04
6/23/2020,96.65
6/24/2020,97.15
6/25/2020,97.43
6/26/2020,97.43
6/29/2020,97.54
6/30/2020,97.39
7/1/2020,97.2
7/2/2020,97.32
7/3/2020,97.17
7/6/2020,96.72
7/7/2020,96.88
7/8/2020,96.43
7/9/2020,96.7
7/10/2020,96.65
7/13/2020,96.46
7/14/2020,96.26
7/15/2020,96.08
7/16/2020,96.35
7/17/2020,95.94
7/20/2020,95.83
7/21/2020,95.12
7/22/2020,94.99
7/23/2020,94.69
7/24/2020,94.43
7/27/2020,93.67
7/28/2020,93.7
7/29/2020,93.45
7/30/2020,93.02
7/31/2020,93.35
8/3/2020,93.54
8/4/2020,93.38
8/5/2020,92.87
8/6/2020,92.79
8/7/2020,93.43
8/10/2020,93.58
8/11/2020,93.63
8/12/2020,93.44
8/13/2020,93.33
8/14/2020,93.1
8/17/2020,92.85
8/18/2020,92.27
8/19/2020,92.89
8/20/2020,92.79
8/21/2020,93.25
8/24/2020,93.3
8/25/2020,93.02
8/26/2020,93.01
8/27/2020,93
8/28/2020,92.37
8/31/2020,92.14
9/1/2020,92.34
9/2/2020,92.85
9/3/2020,92.74
9/4/2020,92.72
9/7/2020,92.72
9/8/2020,93.44
9/9/2020,93.25
9/10/2020,93.34
9/11/2020,93.33
9/14/2020,93.05
9/15/2020,93.05
9/16/2020,93.21
9/17/2020,92.97
9/18/2020,92.93
9/21/2020,93.66
9/22/2020,93.99
9/23/2020,94.39
9/24/2020,94.35
9/25/2020,94.64
9/28/2020,94.28
9/29/2020,93.89
9/30/2020,93.89
10/1/2020,93.71
10/2/2020,93.84
10/5/2020,93.51
10/6/2020,93.69
10/7/2020,93.63
10/8/2020,93.61
10/9/2020,93.06
10/12/2020,93.07
10/13/2020,93.53
10/14/2020,93.38
10/15/2020,93.86
10/16/2020,93.68
10/19/2020,93.43
10/20/2020,93.07
10/21/2020,92.61
10/22/2020,92.95
10/23/2020,92.77
10/26/2020,93.04
10/27/2020,92.94
10/28/2020,93.4
10/29/2020,93.96
10/30/2020,94.04
11/2/2020,94.13
11/3/2020,93.55
11/4/2020,93.41
11/5/2020,92.53
11/6/2020,92.23
11/9/2020,92.72
11/10/2020,92.75
11/11/2020,93.04
11/12/2020,92.96
11/13/2020,92.75
11/16/2020,92.64
11/17/2020,92.42
11/18/2020,92.32
11/19/2020,92.29
11/20/2020,92.39
11/23/2020,92.5
11/24/2020,92.23
11/25/2020,91.99
11/26/2020,91.99
11/27/2020,91.79
11/30/2020,91.87
12/1/2020,91.31
12/2/2020,91.12
12/3/2020,90.71
12/4/2020,90.7
12/7/2020,90.79
12/8/2020,90.96
12/9/2020,91.09
12/10/2020,90.82
12/11/2020,90.98
12/14/2020,90.71
12/15/2020,90.47
12/16/2020,90.45
12/17/2020,89.82
12/18/2020,90.02
12/21/2020,90.04
12/22/2020,90.65
12/23/2020,90.41
12/24/2020,90.32
12/25/2020,90.32
12/28/2020,90.34
12/29/2020,89.99
12/30/2020,89.68
12/31/2020,89.94
1/1/2021,89.94
1/4/2021,89.87
1/5/2021,89.44
1/6/2021,89.53
1/7/2021,89.83
1/8/2021,90.1
1/11/2021,90.46
1/12/2021,90.09
1/13/2021,90.36
1/14/2021,90.24
1/15/2021,90.77
1/18/2021,90.76
1/19/2021,90.5
1/20/2021,90.47
1/21/2021,90.13
1/22/2021,90.24
1/25/2021,90.39
1/26/2021,90.17
1/27/2021,90.65
1/28/2021,90.46
1/29/2021,90.58
2/1/2021,90.98
2/2/2021,91.2
2/3/2021,91.17
2/4/2021,91.53
2/5/2021,91.04
2/8/2021,90.93
2/9/2021,90.44
2/10/2021,90.37
2/11/2021,90.42
2/12/2021,90.48
2/15/2021,90.48
2/16/2021,90.51
2/17/2021,90.95
2/18/2021,90.59
2/19/2021,90.36
2/22/2021,90.01
2/23/2021,90.17
2/24/2021,90.18
2/25/2021,90.13
2/26/2021,90.88
3/1/2021,91.04
3/2/2021,90.79
3/3/2021,90.95
3/4/2021,91.63
3/5/2021,91.98
3/8/2021,92.31
3/9/2021,91.96
3/10/2021,91.82
3/11/2021,91.42
3/12/2021,91.68
3/15/2021,91.83
3/16/2021,91.86
3/17/2021,91.44
3/18/2021,91.86
3/19/2021,91.92
3/22/2021,91.74
3/23/2021,92.34
3/24/2021,92.53
3/25/2021,92.53
3/26/2021,92.77
3/29/2021,92.94
3/30/2021,93.3
3/31/2021,93.23
4/1/2021,92.93
4/2/2021,93.02
4/5/2021,92.6
4/6/2021,92.33
4/7/2021,92.46
4/8/2021,92.06
4/9/2021,92.16
4/12/2021,92.14
4/13/2021,91.85
4/14/2021,91.69
4/15/2021,91.69
4/16/2021,91.56
4/19/2021,91.07
4/20/2021,91.24
4/21/2021,91.15
4/22/2021,91.33
4/23/2021,90.86
4/26/2021,90.81
4/27/2021,90.91
4/28/2021,90.61
4/29/2021,90.61
4/30/2021,91.28
5/3/2021,90.94
5/4/2021,91.29
5/5/2021,91.31
5/6/2021,90.95
5/7/2021,90.23
5/10/2021,90.21
5/11/2021,90.14
5/12/2021,90.71
5/13/2021,90.75
5/14/2021,90.32
5/17/2021,90.16
5/18/2021,89.75
5/19/2021,90.19
5/20/2021,89.81
5/21/2021,90.02
5/24/2021,89.84
5/25/2021,89.64
5/26/2021,90.04
5/27/2021,89.97
5/28/2021,90.03
5/31/2021,90.03
6/1/2021,89.83
6/2/2021,89.91
6/3/2021,90.51
6/4/2021,90.14
6/7/2021,89.95
6/8/2021,90.08
6/9/2021,90.12
6/10/2021,90.07
6/11/2021,90.56
6/14/2021,90.52
6/15/2021,90.54
6/16/2021,91.13
6/17/2021,91.89
6/18/2021,92.22
6/21/2021,91.9
6/22/2021,91.76
6/23/2021,91.8
6/24/2021,91.81
6/25/2021,91.85
6/28/2021,91.89
6/29/2021,92.05
6/30/2021,92.44
7/1/2021,92.6
7/2/2021,92.23
7/5/2021,92.21
7/6/2021,92.55
7/7/2021,92.64
7/8/2021,92.42
7/9/2021,92.13
7/12/2021,92.26
7/13/2021,92.75
7/14/2021,92.41
7/15/2021,92.62
7/16/2021,92.69
7/19/2021,92.89
7/20/2021,92.97
7/21/2021,92.75
7/22/2021,92.82
7/23/2021,92.91
7/26/2021,92.65
7/27/2021,92.43
7/28/2021,92.32
7/29/2021,91.86
7/30/2021,92.17
8/2/2021,92.05
8/3/2021,92.08
8/4/2021,92.27
8/5/2021,92.24
8/6/2021,92.8
8/9/2021,92.94
8/10/2021,93.06
8/11/2021,92.92
8/12/2021,93.04
8/13/2021,92.52
8/16/2021,92.63
8/17/2021,93.13
8/18/2021,93.14
8/19/2021,93.57
8/20/2021,93.5
8/23/2021,92.96
8/24/2021,92.89
8/25/2021,92.82
8/26/2021,93.06
8/27/2021,92.69
8/30/2021,92.65
8/31/2021,92.63
9/1/2021,92.45
9/2/2021,92.22
9/3/2021,92.04
9/6/2021,92.04
9/7/2021,92.51
9/8/2021,92.65
9/9/2021,92.48
9/10/2021,92.58
9/13/2021,92.68
9/14/2021,92.62
9/15/2021,92.55
9/16/2021,92.93
9/17/2021,93.19
9/20/2021,93.28
9/21/2021,93.2
9/22/2021,93.46
9/23/2021,93.03
9/24/2021,93.33
9/27/2021,93.38
9/28/2021,93.77
9/29/2021,94.34
9/30/2021,94.23
10/1/2021,94.04
10/4/2021,93.78
10/5/2021,93.97
10/6/2021,94.27
10/7/2021,94.22
10/8/2021,94.07
10/11/2021,94.32
10/12/2021,94.52
10/13/2021,94.08
10/14/2021,93.96
10/15/2021,93.94
10/18/2021,93.95
10/19/2021,93.73
10/20/2021,93.56
10/21/2021,93.77
10/22/2021,93.64
10/25/2021,93.81
10/26/2021,93.95
10/27/2021,93.8
10/28/2021,93.35
10/29/2021,94.12
11/1/2021,93.88
11/2/2021,94.09
11/3/2021,93.86
11/4/2021,94.35
11/5/2021,94.32
11/8/2021,94.05
11/9/2021,93.96
11/10/2021,94.85
11/11/2021,95.18
11/12/2021,95.13
11/15/2021,95.41
11/16/2021,95.92
11/17/2021,95.83
11/18/2021,95.54
11/19/2021,96.03
11/22/2021,96.55
11/23/2021,96.49
11/24/2021,96.88
11/25/2021,96.77
11/26/2021,96.09
11/29/2021,96.34
11/30/2021,95.99
12/1/2021,96.03
12/2/2021,96.16
12/3/2021,96.12
12/6/2021,96.33
12/7/2021,96.37
12/8/2021,95.89
12/9/2021,96.27
12/10/2021,96.1
12/13/2021,96.32
12/14/2021,96.57
12/15/2021,96.51
12/16/2021,96.04
12/17/2021,96.57
12/20/2021,96.55
12/21/2021,96.49
12/22/2021,96.08
12/23/2021,96.02
12/27/2021,96.09
12/28/2021,96.2
12/29/2021,95.93
12/30/2021,95.97
12/31/2021,95.97
