time,VIX
1514851200,9.77
1514937600,9.15
1515024000,9.22
1515110400,9.22
1515369600,9.52
1515456000,10.08
1515542400,9.82
1515628800,9.88
1515715200,10.16
1516060800,11.66
1516147200,11.91
1516233600,12.22
1516320000,11.27
1516579200,11.03
1516665600,11.1
1516752000,11.47
1516838400,11.58
1516924800,11.08
1517184000,13.84
1517270400,14.79
1517356800,13.54
1517443200,13.47
1517529600,17.31
1517788800,37.32
1517875200,29.98
1517961600,27.73
1518048000,33.46
1518134400,29.06
1518393600,25.61
1518480000,24.97
1518566400,19.26
1518652800,19.13
1518739200,19.46
1519084800,20.6
1519171200,20.02
1519257600,18.72
1519344000,16.49
1519603200,15.8
1519689600,18.59
1519776000,19.85
1519862400,22.47
1519948800,19.59
1520208000,18.73
1520294400,18.36
1520380800,17.76
1520467200,16.54
1520553600,14.64
1520812800,15.78
1520899200,16.35
1520985600,17.23
1521072000,16.59
1521158400,15.8
1521417600,19.02
1521504000,18.2
1521590400,17.86
1521676800,23.34
1521763200,24.87
1522022400,21.03
1522108800,22.5
1522195200,22.87
1522281600,19.97
1522627200,23.62
1522713600,21.1
1522800000,20.06
1522886400,18.94
1522972800,21.49
1523232000,21.77
1523318400,20.47
1523404800,20.24
1523491200,18.49
1523577600,17.41
1523836800,16.56
1523923200,15.25
1524009600,15.6
1524096000,15.96
1524182400,16.88
1524441600,16.34
1524528000,18.02
1524614400,17.84
1524700800,16.24
1524787200,15.41
1525046400,15.93
1525132800,15.49
1525219200,15.97
1525305600,15.9
1525392000,14.77
1525651200,14.75
1525737600,14.71
1525824000,13.42
1525910400,13.23
1525996800,12.65
1526256000,12.93
1526342400,14.63
1526428800,13.42
1526515200,13.43
1526601600,13.42
1526860800,13.08
1526947200,13.22
1527033600,12.58
1527120000,12.53
1527206400,13.22
1527552000,17.02
1527638400,14.94
1527724800,15.43
1527811200,13.46
1528070400,12.74
1528156800,12.4
1528243200,11.64
1528329600,12.13
1528416000,12.18
1528675200,12.35
1528761600,12.34
1528848000,12.94
1528934400,12.12
1529020800,11.98
1529280000,12.31
1529366400,13.35
1529452800,12.79
1529539200,14.64
1529625600,13.77
1529884800,17.33
1529971200,15.92
1530057600,17.91
1530144000,16.85
1530230400,16.09
1530489600,15.6
1530576000,16.14
1530748800,14.97
1530835200,13.37
1531094400,12.69
1531180800,12.64
1531267200,13.63
1531353600,12.58
1531440000,12.18
1531699200,12.83
1531785600,12.06
1531872000,12.1
1531958400,12.87
1532044800,12.86
1532304000,12.62
1532390400,12.41
1532476800,12.29
1532563200,12.14
1532649600,13.03
1532908800,14.26
1532995200,12.83
1533081600,13.15
1533168000,12.19
1533254400,11.64
1533513600,11.27
1533600000,10.93
1533686400,10.85
1533772800,11.27
1533859200,13.16
1534118400,14.78
1534204800,13.31
1534291200,14.64
1534377600,13.45
1534464000,12.64
1534723200,12.49
1534809600,12.86
1534896000,12.25
1534982400,12.41
1535068800,11.99
1535328000,12.16
1535414400,12.5
1535500800,12.25
1535587200,13.53
1535673600,12.86
1536019200,13.16
1536105600,13.91
1536192000,14.65
1536278400,14.88
1536537600,14.16
1536624000,13.22
1536710400,13.14
1536796800,12.37
1536883200,12.07
1537142400,13.68
1537228800,12.79
1537315200,11.75
1537401600,11.8
1537488000,11.68
1537747200,12.2
1537833600,12.42
1537920000,12.89
1538006400,12.41
1538092800,12.12
1538352000,12
1538438400,12.05
1538524800,11.61
1538611200,14.22
1538697600,14.82
1538956800,15.69
1539043200,15.95
1539129600,22.96
1539216000,24.98
1539302400,21.31
1539561600,21.3
1539648000,17.62
1539734400,17.4
1539820800,20.06
1539907200,19.89
1540166400,19.64
1540252800,20.71
1540339200,25.23
1540425600,24.22
1540512000,24.16
1540771200,24.7
1540857600,23.35
1540944000,21.23
1541030400,19.34
1541116800,19.51
1541376000,19.96
1541462400,19.91
1541548800,16.36
1541635200,16.72
1541721600,17.36
1541980800,20.45
1542067200,20.02
1542153600,21.25
1542240000,19.98
1542326400,18.14
1542585600,20.1
1542672000,22.48
1542758400,20.8
1542931200,21.52
1543190400,18.9
1543276800,19.02
1543363200,18.49
1543449600,18.79
1543536000,18.07
1543795200,16.44
1543881600,20.74
1544054400,21.19
1544140800,23.23
1544400000,22.64
1544486400,21.76
1544572800,21.46
1544659200,20.65
1544745600,21.63
1545004800,24.52
1545091200,25.58
1545177600,25.58
1545264000,28.38
1545350400,30.11
1545609600,36.07
1545782400,30.41
1545868800,29.96
1545955200,28.34
1546214400,25.42
1546387200,23.22
1546473600,25.45
1546560000,21.38
1546819200,21.4
1546905600,20.47
1546992000,19.98
1547078400,19.5
1547164800,18.19
1547424000,19.07
1547510400,18.6
1547596800,19.04
1547683200,18.06
1547769600,17.8
1548115200,20.8
1548201600,19.52
1548288000,18.89
1548374400,17.42
1548633600,18.87
1548720000,19.13
1548806400,17.66
1548892800,16.57
1548979200,16.14
1549238400,15.73
1549324800,15.57
1549411200,15.38
1549497600,16.37
1549584000,15.72
1549843200,15.97
1549929600,15.43
1550016000,15.65
1550102400,16.22
1550188800,14.91
1550534400,14.88
1550620800,14.02
1550707200,14.46
1550793600,13.51
1551052800,14.85
1551139200,15.17
1551225600,14.7
1551312000,14.78
1551398400,13.57
1551657600,14.63
1551744000,14.74
1551830400,15.74
1551916800,16.59
1552003200,16.05
1552262400,14.33
1552348800,13.77
1552435200,13.41
1552521600,13.5
1552608000,12.88
1552867200,13.1
1552953600,13.56
1553040000,13.91
1553126400,13.63
1553212800,16.48
1553472000,16.33
1553558400,14.68
1553644800,15.15
1553731200,14.43
1553817600,13.71
1554076800,13.4
1554163200,13.36
1554249600,13.74
1554336000,13.58
1554422400,12.82
1554681600,13.18
1554768000,14.28
1554854400,13.3
1554940800,13.02
1555027200,12.01
1555286400,12.32
1555372800,12.18
1555459200,12.6
1555545600,12.09
1555632000,12.09
1555891200,12.42
1555977600,12.28
1556064000,13.14
1556150400,13.25
1556236800,12.73
1556496000,13.11
1556582400,13.12
1556668800,14.8
1556755200,14.42
1556841600,12.87
1557100800,15.44
1557187200,19.32
1557273600,19.4
1557360000,19.1
1557446400,16.04
1557705600,20.55
1557792000,18.06
1557878400,16.44
1557964800,15.29
1558051200,15.96
1558310400,16.31
1558396800,14.95
1558483200,14.75
1558569600,16.92
1558656000,15.85
1559001600,17.5
1559088000,17.9
1559174400,17.3
1559260800,18.71
1559520000,18.86
1559606400,16.97
1559692800,16.09
1559779200,15.93
1559865600,16.3
1560124800,15.94
1560211200,15.99
1560297600,15.91
1560384000,15.82
1560470400,15.28
1560729600,15.35
1560816000,15.15
1560902400,14.33
1560988800,14.75
1561075200,15.4
1561334400,15.26
1561420800,16.28
1561507200,16.21
1561593600,15.82
1561680000,15.08
1561939200,14.06
1562025600,12.93
1562112000,12.57
1562284800,13.28
1562544000,13.96
1562630400,14.09
1562716800,13.03
1562803200,12.93
1562889600,12.39
1563148800,12.68
1563235200,12.86
1563321600,13.97
1563408000,13.53
1563494400,14.45
1563753600,13.53
1563840000,12.61
1563926400,12.07
1564012800,12.74
1564099200,12.16
1564358400,12.83
1564444800,13.94
1564531200,16.12
1564617600,17.87
1564704000,17.61
1564963200,24.59
1565049600,20.17
1565136000,19.49
1565222400,16.91
1565308800,17.97
1565568000,21.09
1565654400,17.52
1565740800,22.1
1565827200,21.18
1565913600,18.47
1566172800,16.88
1566259200,17.5
1566345600,15.8
1566432000,16.68
1566518400,19.87
1566777600,19.32
1566864000,20.31
1566950400,19.35
1567036800,17.88
1567123200,18.98
1567468800,19.66
1567555200,17.33
1567641600,16.27
1567728000,15
1567987200,15.27
1568073600,15.2
1568160000,14.61
1568246400,14.22
1568332800,13.74
1568592000,14.67
1568678400,14.44
1568764800,13.95
1568851200,14.05
1568937600,15.32
1569196800,14.91
1569283200,17.05
1569369600,15.96
1569456000,16.07
1569542400,17.22
1569801600,16.24
1569888000,18.56
1569974400,20.56
1570060800,19.12
1570147200,17.04
1570406400,17.86
1570492800,20.28
1570579200,18.64
1570665600,17.57
1570752000,15.58
1571011200,14.57
1571097600,13.54
1571184000,13.68
1571270400,13.79
1571356800,14.25
1571616000,14
1571702400,14.46
1571788800,14.01
1571875200,13.71
1571961600,12.65
1572220800,13.11
1572307200,13.2
1572393600,12.33
1572480000,13.22
1572566400,12.3
1572825600,12.83
1572912000,13.1
1572998400,12.62
1573084800,12.73
1573171200,12.07
1573430400,12.69
1573516800,12.68
1573603200,13
1573689600,13.05
1573776000,12.05
1574035200,12.46
1574121600,12.86
1574208000,12.78
1574294400,13.13
1574380800,12.34
1574640000,11.87
1574726400,11.54
1574812800,11.75
1574985600,12.62
1575244800,14.91
1575331200,15.96
1575417600,14.8
1575504000,14.52
1575590400,13.62
1575849600,15.86
1575936000,15.68
1576022400,14.99
1576108800,13.94
1576195200,12.63
1576454400,12.14
1576540800,12.29
1576627200,12.58
1576713600,12.5
1576800000,12.51
1577059200,12.61
1577145600,12.67
1577318400,12.65
1577404800,13.43
1577664000,14.82
1577750400,13.78
1577923200,12.47
1578009600,14.02
1578268800,13.85
1578355200,13.79
1578441600,13.45
1578528000,12.54
1578614400,12.56
1578873600,12.32
1578960000,12.39
1579046400,12.42
1579132800,12.32
1579219200,12.1
1579564800,12.85
1579651200,12.91
1579737600,12.98
1579824000,14.56
1580083200,18.23
1580169600,16.28
1580256000,16.39
1580342400,15.49
1580428800,18.84
1580688000,17.97
1580774400,16.05
1580860800,15.15
1580947200,14.96
1581033600,15.47
1581292800,15.04
1581379200,15.18
1581465600,13.74
1581552000,14.15
1581638400,13.68
1581984000,14.83
1582070400,14.38
1582156800,15.56
1582243200,17.08
1582502400,25.03
1582588800,27.85
1582675200,27.56
1582761600,39.16
1582848000,40.11
1583107200,33.42
1583193600,36.82
1583280000,31.99
1583366400,39.62
1583452800,41.94
1583712000,54.46
1583798400,47.3
1583884800,53.9
1583971200,75.47
1584057600,57.83
1584316800,82.69
1584403200,75.91
1584489600,76.45
1584576000,72
1584662400,66.04
1584921600,61.59
1585008000,61.67
1585094400,63.95
1585180800,61
1585267200,65.54
1585526400,57.08
1585612800,53.54
1585699200,57.06
1585785600,50.91
1585872000,46.8
1586131200,45.24
1586217600,46.7
1586304000,43.35
1586390400,41.67
1586736000,41.17
1586822400,37.76
1586908800,40.84
1586995200,40.11
1587081600,38.15
1587340800,43.83
1587427200,45.41
1587513600,41.98
1587600000,41.38
1587686400,35.93
1587945600,33.29
1588032000,33.57
1588118400,31.23
1588204800,34.15
1588291200,37.19
1588550400,35.97
1588636800,33.61
1588723200,34.12
1588809600,31.44
1588896000,27.98
1589155200,27.57
1589241600,33.04
1589328000,35.28
1589414400,32.61
1589500800,31.89
1589760000,29.3
1589846400,30.53
1589932800,27.99
1590019200,29.53
1590105600,28.16
1590451200,28.01
1590537600,27.62
1590624000,28.59
1590710400,27.51
1590969600,28.23
1591056000,26.84
1591142400,25.66
1591228800,25.81
1591315200,24.52
1591574400,25.81
1591660800,27.57
1591747200,27.57
1591833600,40.79
1591920000,36.09
1592179200,34.4
1592265600,33.67
1592352000,33.47
1592438400,32.94
1592524800,35.12
1592784000,31.77
1592870400,31.37
1592956800,33.84
1593043200,32.22
1593129600,34.73
1593388800,31.78
1593475200,30.43
1593561600,28.62
1593648000,27.68
1593734400,27.68
1593993600,27.94
1594080000,29.43
1594166400,28.08
1594252800,29.26
1594339200,27.29
1594598400,32.19
1594684800,29.52
1594771200,27.76
1594857600,28
1594944000,25.68
1595203200,24.46
1595289600,24.84
1595376000,24.32
1595462400,26.08
1595548800,25.84
1595808000,24.74
1595894400,25.44
1595980800,24.1
1596067200,24.76
1596153600,24.46
1596412800,24.28
1596499200,23.76
1596585600,22.99
1596672000,22.65
1596758400,22.21
1597017600,22.13
1597104000,24.03
1597190400,22.28
1597276800,22.13
1597363200,22.05
1597622400,21.35
1597708800,21.51
1597795200,22.54
1597881600,22.72
1597968000,22.54
1598227200,22.37
1598313600,22.03
1598400000,23.27
1598486400,24.47
1598572800,22.96
1598832000,26.41
1598918400,26.12
1599004800,26.57
1599091200,33.6
1599177600,30.75
1599523200,31.46
1599609600,28.81
1599696000,29.71
1599782400,26.87
1600041600,25.85
1600128000,25.59
1600214400,26.04
1600300800,26.46
1600387200,25.83
1600646400,27.78
1600732800,26.86
1600819200,28.58
1600905600,28.51
1600992000,26.38
1601251200,26.19
1601337600,26.27
1601424000,26.37
1601510400,26.7
1601596800,27.63
1601856000,27.96
1601942400,29.48
1602028800,28.06
1602115200,26.36
1602201600,25
1602460800,25.07
1602547200,26.07
1602633600,26.4
1602720000,26.97
1602806400,27.41
1603065600,29.18
1603152000,29.35
1603238400,28.65
1603324800,28.11
1603411200,27.55
1603670400,32.46
1603756800,33.35
1603843200,40.28
1603929600,37.59
1604016000,38.02
1604275200,37.13
1604361600,35.55
1604448000,29.57
1604534400,27.58
1604620800,24.86
1604880000,25.75
1604966400,24.8
1605052800,23.45
1605139200,25.35
1605225600,23.1
1605484800,22.45
1605571200,22.71
1605657600,23.84
1605744000,23.11
1605830400,23.7
1606089600,22.66
1606176000,21.64
1606262400,21.25
1606348800,21.25
1606435200,20.84
1606694400,20.57
1606780800,20.77
1606867200,21.17
1606953600,21.28
1607040000,20.79
1607299200,21.3
1607385600,20.68
1607472000,22.27
1607558400,22.52
1607644800,23.31
1607904000,24.72
1607990400,22.89
1608076800,22.5
1608163200,21.93
1608249600,21.57
1608508800,25.16
1608595200,24.23
1608681600,23.31
1608768000,21.53
1608854400,21.53
1609113600,21.7
1609200000,23.08
1609286400,22.77
1609372800,22.75
1609718400,26.97
1609804800,25.34
1609891200,25.07
1609977600,22.37
1610064000,21.56
1610323200,24.08
1610409600,23.33
1610496000,22.21
1610582400,23.25
1610668800,24.34
1611014400,23.24
1611100800,21.58
1611187200,21.32
1611273600,21.91
1611532800,23.19
1611619200,23.02
1611705600,37.21
1611792000,30.21
1611878400,33.09
1612137600,30.24
1612224000,25.56
1612310400,22.91
1612396800,21.77
1612483200,20.87
1612742400,21.24
1612828800,21.63
1612915200,21.99
1613001600,21.25
1613088000,19.97
1613433600,21.46
1613520000,21.5
1613606400,22.49
1613692800,22.05
1613952000,23.45
1614038400,23.11
1614124800,21.34
1614211200,28.89
1614297600,27.95
1614556800,23.35
1614643200,24.1
1614729600,26.67
1614816000,28.57
1614902400,24.66
1615161600,25.47
1615248000,24.03
1615334400,22.56
1615420800,21.91
1615507200,20.69
1615766400,20.03
1615852800,19.79
1615939200,19.23
1616025600,21.58
1616112000,20.95
1616371200,18.88
1616457600,20.3
1616544000,21.2
1616630400,19.81
1616716800,18.86
1616976000,20.74
1617062400,19.61
1617148800,19.4
1617235200,17.33
1617321600,17.33
1617580800,17.91
1617667200,18.12
1617753600,17.16
1617840000,16.95
1617926400,16.69
1618185600,16.91
1618272000,16.65
1618358400,16.99
1618444800,16.57
1618531200,16.25
1618790400,17.29
1618876800,18.68
1618963200,17.5
1619049600,18.71
1619136000,17.33
1619395200,17.64
1619481600,17.56
1619568000,17.28
1619654400,17.61
1619740800,18.61
1620000000,18.31
1620086400,19.48
1620172800,19.15
1620259200,18.39
1620345600,16.69
1620604800,19.66
1620691200,21.84
1620777600,27.59
1620864000,23.13
1620950400,18.81
1621209600,19.72
1621296000,21.34
1621382400,22.18
1621468800,20.67
1621555200,20.15
1621814400,18.4
1621900800,18.84
1621987200,17.36
1622073600,16.74
1622160000,16.76
1622505600,17.9
1622592000,17.48
1622678400,18.04
1622764800,16.42
1623024000,16.42
1623110400,17.07
1623196800,17.89
1623283200,16.1
1623369600,15.65
1623628800,16.39
1623715200,17.02
1623801600,18.15
1623888000,17.75
1623974400,20.7
1624233600,17.89
1624320000,16.66
1624406400,16.32
1624492800,15.97
1624579200,15.62
1624838400,15.76
1624924800,16.02
1625011200,15.83
1625097600,15.48
1625184000,15.07
1625529600,16.44
1625616000,16.2
1625702400,19
1625788800,16.18
1626048000,16.17
1626134400,17.12
1626220800,16.33
1626307200,17.01
1626393600,18.45
1626652800,22.5
1626739200,19.73
1626825600,17.91
1626912000,17.69
1626998400,17.2
1627257600,17.58
1627344000,19.36
1627430400,18.31
1627516800,17.7
1627603200,18.24
1627862400,19.46
1627948800,18.04
1628035200,17.97
1628121600,17.28
1628208000,16.15
1628467200,16.72
1628553600,16.79
1628640000,16.06
1628726400,15.59
1628812800,15.45
1629072000,16.12
1629158400,17.91
1629244800,21.57
1629331200,21.67
1629417600,18.56
1629676800,17.15
1629763200,17.22
1629849600,16.79
1629936000,18.84
1630022400,16.39
1630281600,16.19
1630368000,16.48
1630454400,16.11
1630540800,16.41
1630627200,16.41
1630972800,18.14
1631059200,17.96
1631145600,18.8
1631232000,20.95
1631491200,19.37
1631577600,19.46
1631664000,18.18
1631750400,18.69
1631836800,20.81
1632096000,25.71
1632182400,24.36
1632268800,20.87
1632355200,18.63
1632441600,17.75
1632700800,18.76
1632787200,23.25
1632873600,22.56
1632960000,23.14
1633046400,21.15
1633305600,22.96
1633392000,21.3
1633478400,21
1633564800,19.54
1633651200,18.77
1633910400,20
1633996800,19.85
1634083200,18.64
1634169600,16.86
1634256000,16.3
1634515200,16.31
1634601600,15.7
1634688000,15.49
1634774400,15.01
1634860800,15.43
1635120000,15.24
1635206400,15.98
1635292800,16.98
1635379200,16.53
1635465600,16.26
1635724800,16.41
1635811200,16.03
1635897600,15.1
1635984000,15.44
1636070400,16.48
1636329600,17.22
1636416000,17.78
1636502400,18.73
1636588800,17.66
1636675200,16.29
1636934400,16.49
1637020800,16.37
1637107200,17.11
1637193600,17.59
1637280000,17.91
1637539200,19.17
1637625600,19.38
1637712000,18.58
1637798400,18.58
1637884800,28.62
1638144000,22.96
1638230400,27.19
1638316800,31.12
1638403200,27.95
1638489600,30.67
1638748800,27.18
1638835200,21.89
1638921600,19.9
1639008000,21.58
1639094400,18.69
1639353600,20.31
1639440000,21.89
1639526400,19.29
1639612800,20.57
1639699200,21.57
1639958400,22.87
1640044800,21.01
1640131200,18.63
